oa_id,doi,title,year,frame,venue,stratum,N_h,n_h,weight,cited,n_chars,n_sents,n_pages,status,status_registered,screen_quote,screen_page,B_stated,B_stated_quote,B_stated_page,B_justified,B_justified_quote,B_justified_page,M_justified,M_justified_quote,M_justified_page,Theta_stated,Theta_stated_quote,Theta_stated_page,Range_reported,Range_reported_quote,Range_reported_page,B_stated_B,B_justified_B,M_justified_B,Theta_stated_B,Range_reported_B,applic_register,applic_evidence
W2795105179,10.1016/j.is.2019.03.004,GreyCat: Efficient what-if analytics for data in motion at scale,2019,A,Information Systems,v1:Information Systems,82,82,1.0,,86307.0,729.0,17.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2796583606,10.1016/j.dss.2021.113544,Model identification for ARMA time series through convolutional neural networks,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,46367.0,373.0,17.0,NO_ABLATION,NO_ABLATION,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2800976233,10.1145/3331449,Survey and Cross-benchmark Comparison of Remaining Time Prediction Methods in Business Process Monitoring,2019,B,ACM Transactions on Intelligent Systems and Technology,v1:ACM Transactions on Intelligent Systems and Technology,1,1,1.0,,103454.0,868.0,28.0,NO_ABLATION,NO_ABLATION,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2806583692,10.1016/j.is.2019.01.006,Predictive performance modeling for distributed batch processing using black box monitoring and machine learning,2019,A,Information Systems,v1:Information Systems,82,82,1.0,,112800.0,857.0,19.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2807851731,10.1016/j.is.2019.03.005,Binary classification in unstructured space with hypergraph case-based reasoning,2019,A,Information Systems,v1:Information Systems,82,82,1.0,,122329.0,1319.0,69.0,INCLUDED,INCLUDED,"To conclude, we used a Wilcoxon signed-rank test at 5% and 1% on the test MCC obtained with and without the optimization process.",44.0,no,,0.0,no,,0.0,no,,0.0,unclear,"In this experiment, we show how η can be used to control the accuracy by specifying a threshold on the risk associated to a prediction.",46.0,no,,0.0,unclear,no,no,unclear,no,no,
W2810738116,10.1007/s10664-019-09728-3,Whom are you going to call? determinants of @-mentions in Github discussions,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,73787.0,696.0,12.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2901934595,10.1145/3375398,Robust Drift Characterization from Event Streams of Business Processes,2020,B,ACM Transactions on Knowledge Discovery from Data,v1:ACM Transactions on Knowledge Discovery from Data,1,1,1.0,,182128.0,1565.0,55.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2902316941,10.1007/s10664-020-09808-9,Better software analytics via “DUO”: Data mining algorithms using/used-by optimizers,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,118770.0,1184.0,35.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2903606913,10.1016/j.is.2019.03.011,Beyond roll-up’s and drill-down’s: An intentional analytics model to reinvent OLAP,2019,A,Information Systems,v1:Information Systems,82,82,1.0,,186667.0,1528.0,74.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2907904533,10.1007/s10664-018-9676-8,Associating working memory capacity and code change ordering with code review performance,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W2911862380,10.1016/j.is.2019.02.003,Boosting decision stumps for dynamic feature selection on data streams,2019,A,Information Systems,v1:Information Systems,82,82,1.0,,97184.0,672.0,47.0,INCLUDED,INCLUDED,"Evaluation of the classiﬁers with and without the proposed method has been conducted regarding accuracy, processing time, and memory consumption.",21.0,unclear,"It is also important to highlight that after the classiﬁcation of the instance in a unit ui, the selected feature used in its decision stump dsi is removed from ⃗x (line 20) so that the candidate decision stump dscandidate is enforced to select a feature that has not been selected already by the dec",12.0,yes,"In practice, if a feature that is statistically relevant is removed from a feature set, it will reduce overall prediction power since (i) it is strongly correlated with the class; or (ii) it belongs to a subset of features that is strongly correlated with the class [10].",4.0,no,,0.0,unclear,", Hoeﬀding Trees [18], and receive as input three parameters: a selection threshold θ, a grace period gp and a purity metric Ω(·) that we wish to maximize, e.",9.0,no,,0.0,unclear,yes,no,unclear,no,no,
W2912484829,10.1016/j.is.2019.02.005,Using Hidden Markov Models for the accurate linguistic analysis of process model activity labels,2019,A,Information Systems,v1:Information Systems,82,82,1.0,,64166.0,574.0,11.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2914211867,10.1016/j.is.2018.12.006,TAPON-MT: A versatile framework for semantic labelling,2019,A,Information Systems,v1:Information Systems,82,82,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W2921946069,10.1016/j.dss.2019.02.009,Advanced turbidity prediction for operational water supply planning,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,64770.0,462.0,30.0,NO_ABLATION,NO_ABLATION,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2931993367,10.1016/j.is.2020.101586,Processing tweets for cybersecurity threat awareness,2020,A,Information Systems,v1:Information Systems,82,82,1.0,,83173.0,681.0,16.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2934734939,10.1016/j.dss.2019.03.006,Twitter user geolocation using web country noun searches,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
