oa_id,doi,title,year,frame,venue,stratum,N_h,n_h,weight,cited
W2795105179,10.1016/j.is.2019.03.004,GreyCat: Efficient what-if analytics for data in motion at scale,2019,A,Information Systems,v1:Information Systems,82,82,1.0,
W2796583606,10.1016/j.dss.2021.113544,Model identification for ARMA time series through convolutional neural networks,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W2800976233,10.1145/3331449,Survey and Cross-benchmark Comparison of Remaining Time Prediction Methods in Business Process Monitoring,2019,B,ACM Transactions on Intelligent Systems and Technology,v1:ACM Transactions on Intelligent Systems and Technology,1,1,1.0,
W2806583692,10.1016/j.is.2019.01.006,Predictive performance modeling for distributed batch processing using black box monitoring and machine learning,2019,A,Information Systems,v1:Information Systems,82,82,1.0,
W2807851731,10.1016/j.is.2019.03.005,Binary classification in unstructured space with hypergraph case-based reasoning,2019,A,Information Systems,v1:Information Systems,82,82,1.0,
W2810738116,10.1007/s10664-019-09728-3,Whom are you going to call? determinants of @-mentions in Github discussions,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2901934595,10.1145/3375398,Robust Drift Characterization from Event Streams of Business Processes,2020,B,ACM Transactions on Knowledge Discovery from Data,v1:ACM Transactions on Knowledge Discovery from Data,1,1,1.0,
W2902316941,10.1007/s10664-020-09808-9,Better software analytics via “DUO”: Data mining algorithms using/used-by optimizers,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2903606913,10.1016/j.is.2019.03.011,Beyond roll-up’s and drill-down’s: An intentional analytics model to reinvent OLAP,2019,A,Information Systems,v1:Information Systems,82,82,1.0,
W2907904533,10.1007/s10664-018-9676-8,Associating working memory capacity and code change ordering with code review performance,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2911862380,10.1016/j.is.2019.02.003,Boosting decision stumps for dynamic feature selection on data streams,2019,A,Information Systems,v1:Information Systems,82,82,1.0,
W2912484829,10.1016/j.is.2019.02.005,Using Hidden Markov Models for the accurate linguistic analysis of process model activity labels,2019,A,Information Systems,v1:Information Systems,82,82,1.0,
W2914211867,10.1016/j.is.2018.12.006,TAPON-MT: A versatile framework for semantic labelling,2019,A,Information Systems,v1:Information Systems,82,82,1.0,
W2921946069,10.1016/j.dss.2019.02.009,Advanced turbidity prediction for operational water supply planning,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W2931993367,10.1016/j.is.2020.101586,Processing tweets for cybersecurity threat awareness,2020,A,Information Systems,v1:Information Systems,82,82,1.0,
W2934734939,10.1016/j.dss.2019.03.006,Twitter user geolocation using web country noun searches,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W2941068928,10.1007/s10664-019-09694-w,Classifying code comments in Java software systems,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2941394980,10.1007/s10664-019-09706-9,Towards understanding and detecting fake reviews in app stores,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2941755106,,Predictive and prescriptive monitoring of business process outcomes,2019,B,DSpace repository (University of Tartu),v1:DSpace repository (University of Tartu),1,1,1.0,
W2944885770,10.1007/s10664-019-09714-9,Effects of measurements on correlations of software code metrics,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2945788444,10.1007/s10115-021-01633-w,"Fire now, fire later: alarm-based systems for prescriptive process monitoring",2021,B,Knowledge and Information Systems,v1:Knowledge and Information Systems,6,6,1.0,
W2946009226,10.1007/s10664-019-09739-0,Improving change prediction models with code smell-related information,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2946929989,10.1007/s10664-020-09853-4,Automating system test case classification and prioritization for use case-driven testing in product lines,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2947765183,10.1007/978-3-030-21290-2_34,Proactive Process Adaptation Using Deep Learning Ensembles,2019,B,Lecture notes in computer science,v1:Lecture notes in computer science,12,12,1.0,
W2948645509,10.1016/j.dss.2019.05.008,Agent-level determinants of price expectation formation in online double-sided auctions,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W2951484092,10.1016/j.dss.2019.113075,Using social network and semantic analysis to analyze online travel forums and forecast tourism demand,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W2953798551,10.1007/s10664-019-09726-5,Empirical comparison of text-based mobile apps similarity measurement techniques,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2954440353,10.1016/j.is.2019.101483,Two-stage optimization for machine learning workflow,2019,A,Information Systems,v1:Information Systems,82,82,1.0,
W2955950342,10.1007/s10664-019-09716-7,Mining non-functional requirements from App store reviews,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2956440216,10.1016/j.is.2019.101479,Detecting coherent explorations in SQL workloads,2019,A,Information Systems,v1:Information Systems,82,82,1.0,
W2956885731,10.1016/j.dss.2019.113097,Deep learning for decision making and the optimization of socially responsible investments and portfolio,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W2957490530,10.1016/j.is.2019.07.002,Understanding and improving ontology reasoning efficiency through learning and ranking,2019,A,Information Systems,v1:Information Systems,82,82,1.0,
W2960048287,10.1016/j.dss.2019.113100,Forecasting remaining useful life: Interpretable deep learning approach via variational Bayesian inferences,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W2961549118,10.48550/arxiv.1905.10173,What if Process Predictions are not followed by Good Recommendations? (Technical Report),2019,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,
W2969930394,10.1007/978-3-030-26643-1_5,Predicting Critical Behaviors in Business Process Executions: When Evidence Counts,2019,B,Lecture notes in business information processing,v1:Lecture notes in business information processing,33,33,1.0,
W2970198659,10.1007/s10664-019-09758-x,What kind of questions do developers ask on Stack Overflow? A comparison of automated approaches to classify posts into question categories,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2970732649,10.1016/j.im.2019.103198,"IT centrality, IT management model, and contribution of the IT function to organizational performance: A study in Canadian hospitals",2019,A,Information & Management,v1:Information & Management,20,20,1.0,
W2979389171,10.1016/j.is.2019.101444,Speed prediction in large and dynamic traffic sensor networks,2019,A,Information Systems,v1:Information Systems,82,82,1.0,
W2980838074,10.1016/j.dss.2019.113132,Veracity assessment of online data,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W2982284349,10.1016/j.is.2019.101458,BINet: Multi-perspective business process anomaly classification,2019,A,Information Systems,v1:Information Systems,82,82,1.0,
W2986478207,10.1007/s10664-019-09769-8,Recognizing lines of code violating company-specific coding guidelines using machine learning,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2986485804,10.1016/j.im.2019.103220,Robot acceptance model for care (RAM-care): A principled approach to the intention to use care robots,2019,A,Information & Management,v1:Information & Management,20,20,1.0,
W2989213133,10.1016/j.knosys.2020.106557,Business process variant analysis: Survey and classification,2020,B,Knowledge-Based Systems,v1:Knowledge-Based Systems,2,2,1.0,
W2995454814,10.1007/s10664-019-09778-7,Selecting fault revealing mutants,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W2995630456,10.1016/j.dss.2019.113232,Leveraging fine-grained transaction data for customer life event predictions,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W2996338620,,Interpreting Predictive Process Monitoring Benchmarks.,2019,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,
W2998979401,10.1016/j.is.2020.101494,Improving malicious URLs detection via feature engineering: Linear and nonlinear space transformation methods,2020,A,Information Systems,v1:Information Systems,82,82,1.0,
W3001004827,10.1016/j.is.2020.101505,On the declarative paradigm in hybrid business process representations: A conceptual framework and a systematic literature study,2020,A,Information Systems,v1:Information Systems,82,82,1.0,
W3004233219,10.1007/s10664-020-09933-5,An automated framework for the extraction of semantic legal metadata from legal texts,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3004570974,10.1007/s10664-019-09781-y,How bugs are born: a model to identify how bugs are introduced in software components,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3004721071,10.1016/j.dss.2020.113260,A new emergency decision support system: the automatic interpretation and contextualisation of events to model a crisis situation in real-time,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3007484883,10.1007/s10664-019-09791-w,Deriving a usage-independent software quality metric,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3010543401,10.1016/j.dss.2020.113271,Longitudinal healthcare analytics for disease management: Empirical demonstration for low back pain,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3012780693,10.1007/s12599-020-00646-z,Seven Paradoxes of Business Process Management in a Hyper-Connected World,2020,B,Business & Information Systems Engineering,v1:Business & Information Systems Engineering,7,7,1.0,
W3013291592,10.1007/978-3-030-58666-9_14,Predictive Business Process Monitoring via Generative Adversarial Nets: The Case of Next Event Prediction,2020,B,Lecture notes in computer science,v1:Lecture notes in computer science,12,12,1.0,
W3014109009,10.1016/j.dss.2020.113290,Employees recruitment: A prescriptive analytics approach via machine learning and mathematical programming,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3015702715,10.1016/j.is.2020.101524,"Winter is here! A decade of cache-based side-channel attacks, detection & mitigation for RSA",2020,A,Information Systems,v1:Information Systems,82,82,1.0,
W3015851278,10.1007/s12599-020-00645-0,Machine Learning in Business Process Monitoring: A Comparison of Deep Learning and Classical Approaches Used for Outcome Prediction,2020,B,Business & Information Systems Engineering,v1:Business & Information Systems Engineering,7,7,1.0,
W3016381677,10.1007/s10664-020-09818-7,How software engineering research aligns with design science: a review,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
