oa_id,doi,title,year,frame,venue,include_quote_amd,include_page_amd,screen,B_stated,B_stated_quote,B_stated_pdf_page,B_stated_reg,B_stated_B,B_justified,B_justified_quote,B_justified_pdf_page,B_justified_reg,B_justified_B,M_justified,M_justified_quote,M_justified_pdf_page,M_justified_reg,M_justified_B,Theta_stated,Theta_stated_quote,Theta_stated_pdf_page,Theta_stated_reg,Theta_stated_B,Range_reported,Range_reported_quote,Range_reported_pdf_page,Range_reported_reg,Range_reported_B
W2807851731,10.1016/j.is.2019.03.005,Binary classification in unstructured space with hypergraph case-based reasoning,2019,A,Information Systems,"To conclude, we used a Wilcoxon signed-rank test at 5% and 1% on the test MCC obtained with and without the optimization process.",44.0,INCLUDED,no,,0.0,no,unclear,no,,0.0,no,no,no,,0.0,no,no,unclear,"In this experiment, we show how η can be used to control the accuracy by specifying a threshold on the risk associated to a prediction.",46.0,unclear,unclear,no,,0.0,yes,no
W2911862380,10.1016/j.is.2019.02.003,Boosting decision stumps for dynamic feature selection on data streams,2019,A,Information Systems,"Evaluation of the classiﬁers with and without the proposed method has been conducted regarding accuracy, processing time, and memory consumption.",21.0,INCLUDED,unclear,"It is also important to highlight that after the classiﬁcation of the instance in a unit ui, the selected feature used in its decision stump dsi is removed from ⃗x (line 20) so that the candidate decision stump dscandidate is enforced to select a feature that has not been selected already by the dec",12.0,unclear,unclear,yes,"In practice, if a feature that is statistically relevant is removed from a feature set, it will reduce overall prediction power since (i) it is strongly correlated with the class; or (ii) it belongs to a subset of features that is strongly correlated with the class [10].",4.0,yes,yes,no,,0.0,yes,no,unclear,", Hoeﬀding Trees [18], and receive as input three parameters: a selection threshold θ, a grace period gp and a purity metric Ω(·) that we wish to maximize, e.",9.0,unclear,unclear,no,,0.0,no,no
W2956440216,10.1016/j.is.2019.101479,Detecting coherent explorations in SQL workloads,2019,A,Information Systems,"To select the most correlated features, we ordered the features by the absolute value of the correlation coeﬃcient, we train the classiﬁer iteratively adding the features while F-measure and accuracy scores increase, and stop when the scores no more improve.",28.0,INCLUDED,unclear,Section 4 details the features considered and how they are extracted.,3.0,yes,unclear,no,,0.0,no,no,yes,"However, such baseline would have 0 as F-measure, since recall will be 0.",25.0,yes,no,unclear,", common fragments) as absolute values (normalized with a given threshold).",19.0,unclear,unclear,no,,0.0,no,no
W2957490530,10.1016/j.is.2019.07.002,Understanding and improving ontology reasoning efficiency through learning and ranking,2019,A,Information Systems,"Table 10 Summary of mean reasoning performance (in seconds) comparison between AutoFolio and R2O2*(all) (R2O2*(all), both with and without ELK).",13.0,INCLUDED,no,,0.0,no,unclear,no,,0.0,no,no,no,,0.0,no,unclear,no,,0.0,no,no,no,,0.0,no,no
W3047535465,10.1007/s10664-020-09854-3,Wait for it: identifying “On-Hold” self-admitted technical debt,2020,A,Empirical Software Engineering,"To measure the effect of rebalancing on our classification, we compare the performance of N-gram TF-IDF with and without Stratified ShuffleSplit.",19.0,INCLUDED,unclear,Table 9 shows the top features from N-gram TF-IDF ranked by how frequently our classifier uses them to distinguish on-hold comments from other self-admitted technical debt comments.,19.0,yes,unclear,no,,0.0,no,no,no,,0.0,yes,no,unclear,The receiver operating characteristic curve is created by plotting the true positive rate (TPR) against the false positive rate (FPR) at various threshold settings.,18.0,unclear,unclear,no,,0.0,no,no
W3079499560,10.1007/s10664-020-09861-4,On the assessment of software defect prediction models via ROC curves,2020,A,Empirical Software Engineering,"ROC curves (with and without AUC) have also been used in Empirical Software Engineering studies to find optimal thresholds t for fn(z,t) to build a defect prediction model.",30.0,INCLUDED,no,,0.0,no,no,no,,0.0,no,no,yes,"AUC provides a spurious assessment of the performance of the defect proneness models, because it is based even on parts of the ROC space that are not of interest for the software manager.",26.0,yes,no,yes,", suppose that a false negative is 9 times as expensive as a false positive.",17.0,yes,yes,unclear,"Appendix C details how these borders behave for each metric when k, c, and p change.",15.0,unclear,no
W3086800606,10.1007/s10664-020-09885-w,On the feasibility of automated prediction of bug and non-bug issues,2020,A,Empirical Software Engineering,In terms of recall and precision the differences between training with and without validation are similar.,27.0,INCLUDED,no,,0.0,no,no,no,,0.0,yes,no,yes,"Moreover, we observe that all other approaches are all equal to or worse than trivially predicting everything as bug in the mean F1 score, because of a low recall.",23.0,yes,no,unclear,"For this scenario, we decide on a fixed cutoff date for the training data.",19.0,unclear,no,unclear,"This way, we get a single model for each baseline, as well as for our approach, that we determined works best on the CV data.",17.0,unclear,no
W3094439486,10.1007/s10664-021-09976-2,Topic recommendation for software repositories using multi-label classification algorithms,2021,A,Empirical Software Engineering,"Finally, using the data ablation study, we address our last research question.",27.0,INCLUDED,no,,0.0,no,no,no,,0.0,no,no,yes,This also can be the reason for the low Precision score of the ML-based models because the ground truth is lacking some useful and correct topics.,30.0,yes,unclear,no,,0.0,no,yes,unclear,The interesting insight here is that both our proposed models (LR and DistilBERT-based classiﬁer) start from the same score for each metric and are almost always overlapping for all number of topics.,34.0,unclear,unclear
W3097594944,10.1016/j.dss.2020.113446,Predicting donation behavior: Acquisition modeling in the nonprofit sector using Facebook data,2020,A,Decision Support Systems,"Similarly, including features related to Facebook pages leads to an increase in AUC of 0.",26.0,INCLUDED,unclear,Table 7 shows that the most important variable is strongly related to categories describing aspects of nightlife (e.,28.0,yes,unclear,no,,0.0,no,no,no,,0.0,yes,no,unclear,"The advantage of the AUC, in comparison with other performance measures, is that it does not depend on a specific threshold [13].",20.0,unclear,unclear,no,,0.0,no,no
W3110739847,10.48550/arxiv.2012.04218,Evaluating Explainable Methods for Predictive Process Analytics: A Functionally-Grounded Approach,2020,B,arXiv (Cornell University),"In particular, methods of testing ﬁdelity often apply ablation, in which the most inﬂuential features are removed from the input [2], or perturbing the data to eﬀect a semantically meaningless transformation to determine the limits of interpreter in withstanding meaningless change [5].",4.0,INCLUDED,unclear,"When computing stability by subset, the features selected in each explanation are ranked based on the importance value attached to that feature, and the ten most inﬂuential features are chosen as the subset to be measured using Equation 1 (where k = 10 and k = 10).",7.0,unclear,yes,no,,0.0,no,no,no,,0.0,no,unclear,no,,0.0,no,no,no,,0.0,no,no
W3118316820,10.1016/j.dss.2021.113492,Data engineering for fraud detection,2021,A,Decision Support Systems,Adding such features based on customer spending history may bring signiﬁcant increase in model performance.,34.0,INCLUDED,unclear,p Authentication method Payment channel xfreq i xfreq2 i 1 1 01/07/2019 16:51 pin code web 0 0 2 1 01/07/2019 19:04 pin code web 1 1 3 1 01/07/2019 19:36 ﬁngerprint app 2 0 4 1 01/07/2019 23:31 pin code web 3 2 5 1 02/07/2019 17:48 ﬁngerprint app 3 1 6 1 02/07/2019 22:12 ﬁngerprint app 2 1 7 1 02/07,25.0,yes,unclear,no,,0.0,no,no,no,,0.0,yes,no,yes,HowActual legitimate Actual fraudulent (negative) yi = 0 (positive) yi = 1 Predicted as legitimate True negative False negative (negative) ˆyi = 0 [Ci(0|0) = 0] [Ci(0|1) = Ai] Predicted as fraudulent False positive True positive (positive) ˆyi = 1 [Ci(1|0) = cf] [Ci(1|1) = cf] Table 4: Cost matrix w,49.0,yes,yes,no,,0.0,no,no
W3133466007,10.1016/j.dss.2021.113517,Box office sales and social media: A cross-platform comparison of predictive ability and mechanisms,2021,A,Decision Support Systems,"When comparing both platforms with and without UGC, Facebook models have signiﬁcantly better performance than Twitter models across all performance measures.",29.0,INCLUDED,unclear,"release date UGC Val 58-59 Avg(SentReactions) Average sentiment of replies, retweets before the release date UGC Val 60-61 Avg(SentReactions1week) Average sentiment of replies, retweets 1week before the release date until the release date UGC Val 61-62 Avg(DailyReactions) Average number of daily rep",17.0,yes,unclear,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,unclear
W3142154623,10.1007/s10664-021-09968-2,Embedding API dependency graph for neural code generation,2021,A,Empirical Software Engineering,Extensive ablation tests show that the proposed ADG embedding is eﬀective and outperforms the baselines.,2.0,INCLUDED,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no
W3165327389,10.1007/s10664-021-09955-7,Lessons Learnt on Reproducibility in Machine Learning Based Android Malware Detection,2021,A,Empirical Software Engineering,"From the two Tables, we can notice that the Precision of original paper for all the experiments (with and without PCA) is higher in 23 out Table 7 Performance of MaMaDroid, as reported by original authors: (Onwuzurike et al.",16.0,INCLUDED,unclear,"), and analysis failures in Soot (as summarised in Table 5) during the process of extracting the features, the 9https://play.",13.0,yes,unclear,no,,0.0,no,no,no,,0.0,no,no,yes,"For example, while many evaluation scenarios consider an app to be malicious as long as it is flagged by any antivirus, some researchers define a threshold of n (with n > 1) antivirus agreements for considering a sample as malware.",4.0,yes,unclear,no,,0.0,no,no
W3193772290,10.1007/s10696-021-09430-x,AI for in-line vehicle sequence controlling: development and evaluation of an adaptive machine learning artifact to predict sequence deviations in a mixed-model production line,2021,B,Flexible Services and Manufacturing Journal,"delayed Sampling No sampling Data quality 1,6% incomplete instances that were removed from the dataset Data preprocessing methods See Table 7 Feature engineering and vectorizing See Table 7 Performance estimation Parameter optimization Yes Search space See Table 12 Search algorithm Grid search Data ",32.0,INCLUDED,unclear,"delayed Sampling No sampling Data quality 1,6% incomplete instances that were removed from the dataset Data preprocessing methods See Table 7 Feature engineering and vectorizing See Table 7 Performance estimation Parameter optimization Yes Search space See Table 12 Search algorithm Grid search Data ",32.0,unclear,unclear,no,,0.0,no,no,no,,0.0,no,no,yes,The AS/AR has a total capacity of 653 slots for models of the considered MMAL.,19.0,yes,unclear,no,,0.0,no,no
W3195958055,10.1007/s10664-021-09996-y,Predicting unstable software benchmarks using static source code features,2021,A,Empirical Software Engineering,3 How does the prediction performance change when removing co-linear and multico-linear features and applying class-rebalancing?,3.0,INCLUDED,unclear,Empir Software Eng (2021) 26: 11 Table 1 Source code features of our approach.,8.0,unclear,unclear,no,,0.0,no,no,no,,0.0,no,no,yes,"3 Binarization Threshold Binary classification requires transforming the benchmark variabilities of the 4,461 benchmarks, as computed by the variability measure, into two classes, i.",17.0,yes,unclear,no,,0.0,yes,unclear
