oa_id,pool,title,venue,year,stratum,weight,machine_status
W2807851731,in,Binary classification in unstructured space with hypergraph case-based reasoning,Information Systems,2019,v1:Information Systems,1.0,INCLUDED
W2911862380,in,Boosting decision stumps for dynamic feature selection on data streams,Information Systems,2019,v1:Information Systems,1.0,INCLUDED
W2956440216,in,Detecting coherent explorations in SQL workloads,Information Systems,2019,v1:Information Systems,1.0,INCLUDED
W2957490530,in,Understanding and improving ontology reasoning efficiency through learning and ranking,Information Systems,2019,v1:Information Systems,1.0,INCLUDED
W3047535465,in,Wait for it: identifying “On-Hold” self-admitted technical debt,Empirical Software Engineering,2020,v1:Empirical Software Engineering,1.0,INCLUDED
W3079499560,in,On the assessment of software defect prediction models via ROC curves,Empirical Software Engineering,2020,v1:Empirical Software Engineering,1.0,INCLUDED
W3086800606,in,On the feasibility of automated prediction of bug and non-bug issues,Empirical Software Engineering,2020,v1:Empirical Software Engineering,1.0,INCLUDED
W3094439486,in,Topic recommendation for software repositories using multi-label classification algorithms,Empirical Software Engineering,2021,v1:Empirical Software Engineering,1.0,INCLUDED
W3097594944,in,Predicting donation behavior: Acquisition modeling in the nonprofit sector using Facebook data,Decision Support Systems,2020,v1:Decision Support Systems,1.0,INCLUDED
W3110739847,in,Evaluating Explainable Methods for Predictive Process Analytics: A Functionally-Grounded Approach,arXiv (Cornell University),2020,v1:arXiv (Cornell University),1.0,INCLUDED
W3118316820,in,Data engineering for fraud detection,Decision Support Systems,2021,v1:Decision Support Systems,1.0,INCLUDED
W3133466007,in,Box office sales and social media: A cross-platform comparison of predictive ability and mechanisms,Decision Support Systems,2021,v1:Decision Support Systems,1.0,INCLUDED
W3142154623,in,Embedding API dependency graph for neural code generation,Empirical Software Engineering,2021,v1:Empirical Software Engineering,1.0,INCLUDED
W3165327389,in,Lessons Learnt on Reproducibility in Machine Learning Based Android Malware Detection,Empirical Software Engineering,2021,v1:Empirical Software Engineering,1.0,INCLUDED
